    dgrf15
 10  6371.2 2015.0
   1  0 -29441.46     0.00
   1  1  -1501.77  4795.99
   2  0  -2445.88     0.00
   2  1   3012.20 -2845.41
   2  2   1676.35  -642.17
   3  0   1350.33     0.00
   3  1  -2352.26  -115.29
   3  2   1225.85   245.04
   3  3    581.69  -538.70
   4  0    907.42     0.00
   4  1    813.68   283.54
   4  2    120.49  -188.43
   4  3   -334.85   180.95
   4  4     70.38  -329.23
   5  0   -232.91     0.00
   5  1    360.14    46.98
   5  2    192.35   196.98
   5  3   -140.94  -119.14
   5  4   -157.40    15.98
   5  5      4.30   100.12
   6  0     69.55     0.00
   6  1     67.57   -20.61
   6  2     72.79    33.30
   6  3   -129.85    58.74
   6  4    -28.93   -66.64
   6  5     13.14     7.35
   6  6    -70.85    62.41
   7  0     81.29     0.00
   7  1    -75.99   -54.27
   7  2     -6.79   -19.53
   7  3     51.82     5.59
   7  4     15.07    24.45
   7  5      9.32     3.27
   7  6     -2.88   -27.50
   7  7      6.61    -2.32
   8  0     23.98     0.00
   8  1      8.89    10.04
   8  2    -16.78   -18.26
   8  3     -3.16    13.18
   8  4    -20.56   -14.60
   8  5     13.33    16.16
   8  6     11.76     5.69
   8  7    -15.98    -9.10
   8  8     -2.02     2.26
   9  0      5.33     0.00
   9  1      8.83   -21.77
   9  2      3.02    10.76
   9  3     -3.22    11.74
   9  4      0.67    -6.74
   9  5    -13.20    -6.88
   9  6     -0.10     7.79
   9  7      8.68     1.04
   9  8     -9.06    -3.89
   9  9    -10.54     8.44
  10  0     -2.01     0.00
  10  1     -6.26     3.28
  10  2      0.17    -0.40
  10  3      0.55     4.55
  10  4     -0.55     4.40
  10  5      1.70    -7.92
  10  6     -0.67    -0.61
  10  7      2.13    -4.16
  10  8      2.33    -2.85
  10  9     -1.80    -1.12
  10 10     -3.59    -8.72
